iter	Passed	Remaining
406	6463	9416
407	6478	9399
408	6493	9382
409	6510	9368
410	6525	9352
411	6542	9336
412	6557	9319
413	6572	9303
414	6588	9286
415	6603	9270
416	6619	9254
417	6635	9239
418	6651	9223
419	6667	9207
420	6682	9190
421	6698	9174
422	6714	9159
423	6729	9142
424	6745	9126
425	6760	9109
426	6776	9093
427	6791	9076
428	6808	9061
429	6823	9045
430	6838	9028
431	6855	9013
432	6870	8996
433	6885	8979
434	6900	8962
435	6915	8945
436	6930	8928
437	6945	8911
438	6960	8894
439	6975	8878
440	6990	8861
441	7006	8844
442	7021	8828
443	7037	8813
444	7054	8798
445	7070	8782
446	7085	8765
447	7101	8750
448	7117	8734
449	7133	8718
450	7149	8703
451	7165	8687
452	7181	8671
453	7197	8655
454	7212	8639
455	7229	8624
456	7245	8608
457	7260	8592
458	7277	8577
459	7292	8561
460	7308	8544
461	7323	8528
462	7339	8512
463	7354	8496
464	7370	8480
465	7386	8464
466	7402	8448
467	7418	8432
468	7433	8415
469	7448	8398
470	7463	8382
471	7478	8366
472	7493	8349
473	7509	8333
474	7524	8316
475	7539	8299
476	7554	8282
477	7570	8267
478	7586	8252
479	7602	8236
480	7617	8219
481	7633	8203
482	7649	8187
483	7664	8171
484	7680	8155
485	7695	8139
486	7712	8124
487	7729	8109
488	7745	8094
489	7762	8079
490	7777	8062
491	7793	8047
492	7809	8030
493	7825	8015
494	7840	7999
495	7856	7982
496	7871	7966
497	7886	7950
498	7903	7934
499	7918	7918
500	7935	7903
501	7950	7887
502	7966	7871
503	7981	7854
504	7997	7838
505	8012	7822
506	8027	7806
507	8043	7789
508	8059	7774
509	8075	7758
510	8091	7743
511	8107	7727
512	8123	7712
513	8140	7697
514	8155	7680
515	8171	7664
516	8188	7649
517	8204	7634
518	8219	7617
519	8235	7602
520	8251	7586
521	8268	7571
522	8284	7555
523	8300	7539
524	8316	7524
525	8332	7508
526	8348	7492
527	8364	7477
528	8381	7462
529	8397	7446
530	8413	7430
531	8428	7414
532	8453	7406
533	8468	7390
534	8484	7374
535	8500	7358
536	8516	7342
537	8532	7327
538	8548	7311
539	8565	7296
540	8581	7280
541	8597	7264
542	8613	7248
543	8629	7233
544	8645	7217
545	8660	7201
546	8677	7185
547	8692	7169
548	8708	7154
549	8724	7138
550	8740	7122
551	8756	7106
552	8772	7090
553	8786	7073
554	8802	7057
555	8817	7041
556	8833	7025
557	8848	7008
558	8863	6992
559	8879	6977
560	8894	6960
561	8908	6943
562	8925	6927
563	8941	6911
564	8955	6895
565	8971	6878
566	8985	6862
567	9001	6846
568	9016	6829
569	9032	6814
570	9047	6797
571	9064	6782
572	9079	6766
573	9095	6750
574	9110	6733
575	9125	6717
576	9140	6701
577	9156	6685
578	9171	6668
579	9186	6652
580	9201	6636
581	9216	6619
582	9232	6603
583	9247	6587
584	9263	6571
585	9278	6555
586	9293	6538
587	9309	6522
588	9324	6506
589	9340	6490
590	9355	6474
591	9370	6458
592	9386	6442
593	9401	6426
594	9417	6410
595	9433	6394
596	9448	6378
597	9464	6362
598	9479	6345
599	9494	6329
600	9509	6313
601	9524	6297
602	9540	6281
603	9559	6267
604	9582	6256
605	9602	6243
606	9619	6228
607	9637	6213
608	9654	6198
609	9671	6183
610	9688	6168
611	9704	6152
612	9720	6136
613	9736	6121
614	9752	6105
615	9768	6089
616	9784	6073
617	9800	6057
618	9816	6042
619	9832	6026
620	9848	6010
621	9863	5994
622	9879	5978
623	9894	5962
624	9910	5946
625	9925	5930
626	9941	5914
627	9957	5898
628	9972	5882
629	9989	5866
630	10005	5850
631	10020	5834
632	10035	5818
633	10051	5802
634	10067	5786
635	10083	5771
636	10099	5755
637	10115	5739
638	10131	5723
639	10147	5707
640	10162	5691
641	10178	5675
642	10194	5660
643	10209	5643
644	10225	5627
645	10240	5611
646	10255	5595
647	10270	5579
648	10286	5563
649	10302	5547
650	10317	5531
651	10332	5515
652	10348	5499
653	10363	5482
654	10379	5466
655	10394	5451
656	10410	5434
657	10425	5418
658	10440	5402
659	10456	5386
660	10472	5370
661	10487	5354
662	10503	5338
663	10518	5322
664	10534	5306
665	10549	5290
666	10565	5274
667	10580	5258
668	10596	5242
669	10610	5226
670	10627	5210
671	10642	5194
672	10657	5178
673	10671	5161
674	10687	5145
675	10703	5130
676	10719	5114
677	10735	5098
678	10750	5082
679	10765	5065
680	10780	5050
681	10796	5033
682	10810	5017
683	10826	5001
684	10842	4985
685	10857	4969
686	10873	4953
687	10888	4937
688	10903	4921
689	10920	4906
690	10935	4890
691	10951	4874
692	10968	4859
693	10986	4844
694	11004	4829
695	11023	4814
696	11040	4799
697	11058	4784
698	11076	4769
699	11092	4754
700	11109	4738
701	11125	4722
702	11140	4706
703	11156	4690
704	11171	4674
705	11187	4658
706	11202	4642
707	11217	4626
708	11233	4610
709	11250	4595
710	11267	4579
711	11283	4563
712	11298	4548
713	11314	4532
714	11330	4516
715	11346	4500
716	11361	4484
717	11377	4468
718	11392	4452
719	11408	4436
720	11423	4420
721	11438	4404
722	11456	4389
723	11471	4373
724	11488	4357
725	11506	4342
726	11536	4332
727	11561	4319
728	11588	4307
729	11607	4293
730	11627	4278
731	11647	4264
732	11668	4250
733	11688	4235
734	11706	4220
735	11724	4205
736	11742	4190
737	11761	4175
738	11781	4160
739	11799	4145
740	11819	4131
741	11837	4116
742	11855	4100
743	11875	4086
744	11893	4071
745	11912	4056
746	11931	4040
747	11950	4026
748	11968	4010
749	11984	3994
750	12003	3979
751	12022	3964
752	12043	3950
753	12062	3935
754	12080	3920
755	12099	3905
756	12118	3889
757	12136	3874
758	12155	3859
759	12173	3844
760	12192	3829
761	12209	3813
762	12229	3798
763	12248	3783
764	12266	3768
765	12284	3752
766	12304	3737
767	12322	3722
768	12342	3707
769	12361	3692
770	12379	3676
771	12397	3661
772	12415	3645
773	12433	3630
774	12450	3614
775	12469	3599
776	12487	3583
777	12504	3568
778	12522	3552
779	12539	3536
780	12557	3521
781	12575	3505
782	12592	3490
783	12611	3474
784	12628	3458
785	12646	3443
786	12664	3427
787	12683	3412
788	12699	3396
789	12714	3379
790	12730	3363
791	12747	3347
792	12762	3331
793	12777	3315
794	12793	3298
795	12809	3282
796	12824	3266
797	12840	3250
798	12856	3234
799	12872	3218
800	12887	3201
801	12902	3185
802	12917	3169
803	12932	3152
804	12948	3136
805	12963	3120
806	12979	3104
807	12998	3088
808	13016	3073
809	13033	3057
810	13051	3041
811	13069	3026
812	13088	3010
813	13107	2995
814	13127	2979
815	13145	2964
816	13163	2948
817	13181	2932
818	13199	2917
819	13216	2901
820	13233	2885
821	13251	2869
822	13269	2853
823	13288	2838
824	13304	2822
825	13322	2806
826	13339	2790
827	13356	2774
828	13374	2758
829	13392	2742
830	13410	2727
831	13427	2711
832	13445	2695
833	13463	2679
834	13480	2663
835	13498	2648
836	13517	2632
837	13536	2616
838	13554	2601
839	13572	2585
840	13589	2569
841	13608	2553
842	13626	2537
843	13643	2521
844	13660	2505
845	13678	2489
846	13696	2474
847	13713	2458
848	13730	2442
849	13749	2426
850	13767	2410
851	13784	2394
852	13804	2378
853	13822	2363
854	13841	2347
855	13858	2331
856	13876	2315
857	13892	2299
858	13908	2282
859	13923	2266
860	13938	2250
861	13953	2233
862	13969	2217
863	13984	2201
864	14000	2184
865	14014	2168
866	14031	2152
867	14046	2136
868	14061	2119
869	14076	2103
870	14092	2087
871	14107	2070
872	14123	2054
873	14140	2038
874	14155	2022
875	14170	2005
876	14185	1989
877	14200	1973
878	14216	1956
879	14231	1940
880	14247	1924
881	14262	1908
882	14280	1892
883	14299	1876
884	14318	1860
885	14336	1844
886	14355	1828
887	14375	1813
888	14393	1797
889	14411	1781
890	14431	1765
891	14450	1749
892	14468	1733
893	14486	1717
894	14504	1701
895	14521	1685
896	14540	1669
897	14558	1653
898	14576	1637
899	14594	1621
900	14611	1605
901	14630	1589
902	14647	1573
903	14665	1557
904	14682	1541
905	14699	1525
906	14716	1508
907	14732	1492
908	14748	1476
909	14764	1460
910	14782	1444
911	14798	1427
912	14813	1411
913	14829	1395
914	14845	1379
915	14860	1362
916	14875	1346
917	14890	1330
918	14905	1313
919	14920	1297
920	14937	1281
921	14953	1265
922	14970	1248
923	14987	1232
924	15006	1216
925	15025	1200
926	15042	1184
927	15061	1168
928	15079	1152
929	15096	1136
930	15113	1120
931	15131	1103
932	15148	1087
933	15166	1071
934	15184	1055
935	15204	1039
936	15222	1023
937	15240	1007
938	15258	991
939	15275	975
940	15293	958
941	15310	942
942	15327	926
943	15345	910
944	15362	894
945	15380	877
946	15397	861
947	15415	845
948	15432	829
949	15449	813
950	15467	796
951	15484	780
952	15501	764
953	15519	748
954	15537	732
955	15554	715
956	15573	699
957	15592	683
958	15610	667
959	15628	651
960	15654	635
961	15676	619
962	15697	603
963	15716	586
964	15735	570
965	15753	554
966	15772	538
967	15791	522
968	15808	505
969	15825	489
970	15842	473
971	15859	456
972	15876	440
973	15891	424
974	15906	407
975	15922	391
976	15937	375
977	15952	358
978	15968	342
979	15984	326
980	15999	309
981	16014	293
982	16028	277
983	16043	260
984	16058	244
985	16073	228
986	16088	211
987	16103	195
988	16118	179
989	16133	162
990	16147	146
991	16163	130
992	16179	114
993	16196	97
994	16213	81
995	16230	65
996	16247	48
997	16266	32
998	16284	16
999	16302	0
