pm10,pm25,so2,co,o3,no2,target
60,88,29,14,24,35,1
55,80,28,16,19,31,1
43,55,21,11,18,17,1
38,61,21,13,14,18,1
37,54,23,11,12,16,1
32,53,21,10,9,15,1
25,47,22,9,14,17,0
50,69,23,19,19,28,1
53,71,29,13,18,33,1
54,75,20,15,31,31,1
55,77,19,19,21,37,1
53,69,24,15,14,30,1
43,57,22,13,15,23,1
48,66,45,13,38,18,1
55,61,50,12,53,21,1
59,76,46,19,50,30,1
56,79,45,16,49,28,1
65,81,54,16,59,26,1
71,89,59,23,52,31,1
60,84,29,23,51,27,1
52,65,28,16,41,15,1
51,55,27,13,33,15,1
56,81,42,21,42,26,1
38,50,26,9,43,9,0
51,60,27,12,45,19,1
40,58,29,11,41,16,1
50,62,27,12,37,15,1
51,72,33,15,49,19,1
67,89,41,13,57,25,1
78,107,55,20,53,41,2
78,115,43,14,74,23,2
73,93,39,13,59,26,1
61,94,41,15,56,24,1
47,58,29,11,51,14,1
45,67,30,13,43,17,1
48,55,30,9,44,11,1
33,57,27,11,37,8,1
36,53,29,9,41,13,1
57,77,35,18,53,21,1
62,83,49,12,63,19,1
57,76,43,15,71,18,1
65,88,48,18,67,25,1
53,68,34,13,55,17,1
39,58,30,12,48,18,1
62,97,28,13,21,14,1
54,71,26,13,41,14,1
57,83,27,18,38,20,1
56,77,29,13,28,19,1
54,77,31,11,39,20,1
54,80,27,17,34,18,1
64,93,28,18,31,19,1
53,77,28,11,18,10,1
41,63,30,7,19,10,1
60,89,28,14,25,14,1
29,52,26,7,28,11,1
66,99,29,13,29,15,1
53,72,29,7,23,9,1
52,73,28,10,16,10,1
51,76,28,9,25,10,1
59,88,40,8,41,18,1
71,106,32,11,39,19,2
61,99,35,7,42,18,1
59,87,33,7,39,14,1
65,106,31,12,45,17,2
81,118,27,15,37,16,2
62,93,26,15,36,10,1
51,77,26,9,27,8,1
43,64,26,6,27,8,1
38,62,26,7,28,9,1
55,79,27,13,39,11,1
51,73,30,11,56,19,1
47,63,27,10,43,17,1
51,19,26,14,48,21,1
59,24,29,10,33,20,1
56,22,12,18,32,25,1
56,96,40,13,19,9,1
46,81,39,17,29,14,1
62,103,40,19,33,11,2
51,79,40,14,32,13,1
61,95,40,22,32,13,1
60,102,41,23,34,14,2
58,81,40,16,19,6,1
24,55,41,10,18,8,1
56,89,40,21,21,12,1
28,53,39,9,25,9,1
53,83,41,19,22,13,1
37,69,41,10,20,9,1
40,68,41,16,14,9,1
37,77,42,14,24,12,1
57,101,46,13,37,18,2
68,123,43,20,37,14,2
68,125,45,16,37,22,2
57,91,42,12,42,15,1
55,98,44,12,38,18,1
57,85,41,16,22,17,1
52,78,41,15,20,11,1
38,62,41,8,12,7,1
30,55,40,7,13,9,1
36,68,41,8,19,12,1
52,83,42,17,31,16,1
58,91,43,13,35,20,1
50,75,41,14,37,16,1
54,84,41,18,35,19,1
41,76,42,14,21,25,1
48,69,43,12,25,18,1
29,60,23,7,16,12,1
35,65,23,11,22,17,1
49,79,24,13,20,21,1
43,75,26,14,20,28,1
53,88,25,25,16,42,1
59,103,30,18,22,26,2
45,67,27,12,11,22,1
35,62,31,7,12,16,1
53,91,27,21,17,39,1
35,62,33,6,19,10,1
44,72,27,11,13,21,1
55,92,34,17,18,33,1
54,87,40,11,28,18,1
65,117,31,17,28,32,2
62,107,40,11,34,17,2
58,96,35,10,33,16,1
56,89,32,9,22,17,1
37,62,24,6,17,9,1
38,67,23,7,14,10,1
35,59,25,6,11,14,1
26,52,21,4,13,6,1
23,53,23,4,21,5,1
48,79,24,10,23,19,1
51,83,38,12,24,23,1
50,78,22,12,34,19,1
54,91,21,17,29,26,1
44,72,35,8,18,18,1
40,62,25,7,16,15,1
26,42,22,11,13,19,0
41,54,27,11,17,19,1
25,42,20,8,18,22,0
57,78,21,23,14,33,1
52,69,22,15,18,27,1
33,55,27,10,14,18,1
30,47,25,11,13,19,0
38,55,33,12,13,22,1
54,69,26,14,15,28,1
48,66,23,13,17,29,1
45,68,31,12,25,31,1
55,69,26,20,15,31,1
55,68,23,18,21,40,1
51,71,27,15,25,32,1
56,74,24,24,21,40,1
55,76,24,20,16,42,1
65,101,24,19,19,41,2
57,79,24,11,25,26,1
63,92,25,14,26,30,1
56,83,25,12,21,30,1
63,87,24,19,14,37,1
54,81,25,14,23,40,1
66,99,25,16,21,42,1
66,99,23,18,30,40,1
63,86,24,15,17,36,1
56,79,26,10,22,24,1
62,94,26,12,23,28,1
54,77,21,15,21,34,1
57,71,23,17,18,38,1
61,84,23,18,20,42,1
22,38,28,9,43,10,0
39,57,34,11,42,13,1
23,51,33,9,57,10,1
63,80,40,17,49,23,1
54,69,30,13,59,18,1
43,61,32,10,36,15,1
30,52,33,9,43,8,1
39,57,34,10,40,14,1
53,64,32,10,49,25,1
44,61,34,9,50,19,1
54,72,42,12,60,22,1
69,93,51,20,54,23,1
70,82,63,14,64,21,1
65,81,55,16,65,22,1
67,85,55,21,50,34,1
69,94,55,17,50,28,1
76,101,56,16,50,22,2
63,92,52,11,60,14,1
75,101,51,15,65,20,2
88,115,61,17,73,25,2
74,101,55,15,58,20,2
64,87,52,10,59,14,1
74,97,51,11,65,17,1
61,81,51,13,56,18,1
69,85,60,15,44,26,1
71,91,57,14,55,21,1
28,52,26,5,35,7,1
51,70,33,8,37,10,1
35,51,32,3,34,5,1
48,69,26,16,33,19,1
52,72,27,14,32,22,1
50,75,19,7,32,14,1
58,93,19,13,27,17,1
57,83,20,8,39,14,1
70,100,20,11,32,16,1
57,73,19,9,41,15,1
59,88,19,13,27,19,1
57,84,19,10,26,16,1
64,104,13,9,34,16,2
51,80,11,9,32,16,1
39,23,10,12,26,17,0
22,49,41,7,18,12,0
37,62,44,11,18,12,1
39,67,42,9,22,14,1
64,103,43,26,23,20,2
52,80,43,14,23,16,1
30,50,43,6,15,10,0
22,38,42,5,16,8,0
24,55,48,8,14,10,1
42,63,43,8,21,13,1
61,90,43,15,27,21,1
66,108,47,18,35,24,2
57,92,43,18,27,17,1
52,78,44,13,31,20,1
52,79,42,13,31,14,1
55,87,42,27,25,27,1
61,90,42,17,21,20,1
63,109,43,20,27,19,2
56,90,45,10,34,17,1
64,103,43,16,27,17,2
60,99,45,10,34,17,1
67,112,19,13,31,24,2
65,98,33,13,31,20,1
73,116,37,17,20,17,2
64,117,37,11,22,14,2
75,138,38,11,27,13,2
55,94,37,9,28,17,1
51,78,37,12,23,19,1
15,34,24,3,16,4,0
35,58,38,7,19,16,1
21,47,20,6,22,12,0
62,102,20,30,19,37,2
47,76,24,12,22,28,1
30,54,31,4,18,6,1
25,42,30,4,17,6,0
32,55,51,5,14,12,1
52,77,34,7,18,21,1
45,77,31,9,24,18,1
46,75,50,9,31,18,1
58,90,30,19,21,31,1
50,78,30,15,30,27,1
48,79,31,12,27,23,1
54,88,23,24,30,42,1
55,88,29,18,23,44,1
67,118,29,16,28,31,2
55,93,29,11,32,16,1
62,108,32,13,32,19,2
51,88,32,9,28,20,1
62,105,25,15,25,25,2
56,96,26,9,39,17,1
66,111,26,12,33,22,2
60,99,29,12,37,24,1
58,97,23,12,27,19,1
52,82,28,10,26,19,1
56,95,33,9,28,18,1
49,81,21,10,26,22,1
43,73,22,14,26,25,1
52,83,23,12,28,23,1
52,71,23,10,20,33,1
50,67,22,9,18,17,1
53,70,26,10,20,20,1
59,77,31,14,14,26,1
58,82,22,18,14,38,1
49,65,19,16,18,38,1
54,70,20,26,19,45,1
52,69,20,12,19,28,1
41,57,18,9,26,21,1
47,69,19,10,25,21,1
60,88,24,12,25,24,1
59,79,21,10,25,21,1
70,110,24,14,24,20,2
52,72,24,8,25,14,1
51,67,26,11,20,19,1
51,65,23,8,20,16,1
47,65,22,11,24,24,1
40,54,24,10,23,26,1
52,69,23,17,19,36,1
57,79,24,12,23,27,1
52,76,24,15,22,34,1
56,79,22,16,28,36,1
60,91,24,21,27,37,1
74,108,22,20,23,38,2
44,60,23,15,23,35,1
56,77,27,11,21,24,1
51,64,27,8,16,20,1
54,70,29,12,16,24,1
56,76,23,14,17,32,1
47,61,24,16,18,29,1
55,73,21,15,19,33,1
62,74,51,10,57,14,1
59,74,50,9,51,11,1
68,82,54,12,39,17,1
64,83,53,14,45,20,1
57,72,53,13,66,21,1
67,83,61,20,46,33,1
60,79,53,11,54,17,1
46,59,46,9,61,7,1
55,73,51,10,58,8,1
69,87,50,11,57,12,1
67,87,52,10,63,8,1
81,112,49,13,48,9,2
54,70,55,11,51,13,1
41,55,48,8,49,10,1
56,77,52,13,55,21,1
66,87,53,12,56,17,1
60,81,58,13,65,21,1
64,90,62,15,66,28,1
73,97,64,18,57,34,1
86,116,74,19,72,30,2
56,64,52,12,66,19,1
62,83,52,12,64,20,1
60,73,52,10,62,13,1
66,81,53,11,63,16,1
60,76,46,13,66,21,1
53,65,55,17,51,28,1
62,81,49,14,71,20,1
55,83,12,9,25,16,1
61,102,23,13,35,20,2
39,66,20,9,60,15,1
39,69,19,15,151,20,2
50,76,20,8,71,15,1
35,58,17,6,47,13,1
46,76,22,8,66,13,1
49,74,47,8,26,14,1
53,73,45,10,25,15,1
60,85,49,12,31,19,1
51,60,45,7,27,13,1
58,82,47,8,29,16,1
51,68,51,5,23,11,1
58,23,45,8,19,16,1
74,113,41,15,17,13,2
73,117,38,20,21,21,2
54,77,37,7,27,16,1
51,78,38,22,25,20,1
56,87,39,9,29,15,1
46,66,37,6,31,11,1
42,73,37,7,31,12,1
65,102,38,8,31,11,2
67,105,37,9,27,11,2
75,112,36,13,24,13,2
51,76,38,3,27,8,1
49,74,37,4,28,17,1
61,99,39,10,25,23,1
60,103,36,9,29,19,2
55,95,37,9,27,20,1
64,107,43,31,30,26,2
72,118,57,26,33,24,2
42,68,49,7,37,22,1
55,93,38,9,28,20,1
50,79,41,6,26,18,1
56,93,40,11,26,20,1
57,91,40,10,29,26,1
47,72,41,15,26,23,1
59,93,41,9,37,24,1
