pm10,pm25,so2,co,o3,no2,target
67,28,46,12,35,15,1
87,27,46,16,38,17,1
64,27,10,19,38,32,1
51,86,39,8,30,22,1
42,81,38,9,27,20,1
55,104,38,12,21,25,2
51,87,41,7,23,20,1
53,90,38,8,21,19,1
59,105,37,16,13,21,2
59,101,38,8,19,18,2
54,92,40,7,21,17,1
48,82,40,6,26,16,1
35,68,38,6,30,19,1
56,102,39,11,27,23,2
57,104,40,8,21,20,2
55,101,40,11,19,25,2
58,98,41,9,21,21,1
63,114,39,11,15,21,2
55,100,41,8,17,21,1
59,103,41,8,24,20,2
58,97,38,9,30,20,1
67,119,42,13,28,28,2
64,106,40,11,28,23,2
50,85,39,8,25,21,1
74,134,43,14,22,29,2
63,106,40,10,24,20,2
61,110,42,11,26,24,2
62,106,42,9,26,28,2
53,91,40,7,28,19,1
58,105,39,10,28,22,2
65,123,38,10,36,23,2
66,122,39,12,28,25,2
76,140,41,16,30,31,2
61,109,41,10,32,26,2
44,70,30,8,29,11,1
46,75,27,8,27,12,1
53,80,30,9,27,21,1
46,74,33,7,26,18,1
50,78,30,9,17,21,1
57,94,31,20,12,52,1
50,71,37,7,19,18,1
49,73,39,7,23,13,1
45,61,39,4,21,14,1
26,52,27,6,24,14,1
54,92,29,11,25,25,1
54,78,32,7,27,18,1
61,100,33,11,21,32,1
73,116,38,14,26,40,2
62,87,33,12,17,30,1
51,74,35,7,22,20,1
59,89,32,8,26,19,1
62,97,28,9,30,17,1
63,106,38,13,26,33,2
55,81,39,8,34,27,1
58,89,32,10,31,24,1
62,94,35,12,24,29,1
59,88,31,9,22,22,1
60,97,31,7,32,12,1
63,95,31,10,29,20,1
64,96,32,9,31,14,1
61,96,34,8,29,15,1
63,100,31,8,44,12,1
67,111,32,10,36,13,2
83,126,35,16,32,29,2
60,92,30,7,32,14,1
63,88,29,15,24,38,1
60,83,29,11,30,28,1
60,82,27,11,37,30,1
58,77,26,10,31,28,1
63,85,27,11,28,28,1
68,92,31,11,26,24,1
52,65,28,9,19,24,1
53,76,25,16,23,34,1
45,62,25,12,27,31,1
51,66,27,10,25,32,1
66,93,32,12,34,41,1
61,80,26,10,28,27,1
51,64,29,8,23,21,1
31,42,24,8,20,19,0
54,81,29,20,20,45,1
48,65,29,9,23,24,1
42,66,29,7,26,20,1
50,73,29,8,23,22,1
53,78,26,8,33,19,1
51,69,27,10,25,34,1
55,81,28,11,29,36,1
57,80,29,11,24,32,1
54,80,29,8,27,22,1
57,74,34,8,20,26,1
49,67,31,7,24,20,1
52,72,28,6,28,19,1
51,72,27,12,22,33,1
45,63,25,9,24,28,1
54,76,26,12,29,38,1
63,94,27,13,38,37,1
79,102,55,14,30,29,2
66,89,52,10,39,19,1
66,87,51,9,39,18,1
62,79,50,9,37,18,1
74,100,52,12,35,22,1
66,87,51,10,34,13,1
58,72,51,9,27,16,1
64,87,52,13,27,31,1
68,88,54,12,35,29,1
58,77,53,9,32,20,1
70,99,53,11,46,22,1
66,82,51,9,36,12,1
56,71,52,9,27,14,1
36,47,50,8,47,15,0
69,95,54,17,45,35,1
52,66,52,8,52,15,1
46,66,51,7,53,9,1
56,79,53,8,51,15,1
52,73,50,8,68,10,1
58,81,52,11,54,25,1
61,85,52,10,58,19,1
64,82,54,10,48,22,1
61,85,53,8,53,13,1
57,76,53,8,47,13,1
55,81,52,8,50,13,1
54,81,57,10,63,16,1
71,105,63,12,63,24,2
57,83,46,13,32,14,1
65,99,46,15,29,16,1
56,86,45,9,39,13,1
53,77,45,9,30,13,1
61,93,46,11,36,14,1
73,108,48,13,29,15,2
60,84,48,11,26,15,1
60,82,48,12,29,15,1
48,61,46,9,31,12,1
49,71,49,9,36,15,1
61,89,50,10,43,16,1
55,78,47,9,30,13,1
51,65,47,8,26,11,1
32,51,46,7,21,11,1
53,81,50,17,24,22,1
51,72,50,10,27,15,1
47,72,49,7,29,13,1
55,80,50,9,27,15,1
56,81,48,10,31,12,1
45,59,49,7,33,10,1
54,78,50,9,35,15,1
57,78,49,14,26,18,1
57,82,51,10,29,16,1
55,77,52,8,27,15,1
54,75,50,11,22,16,1
54,74,50,10,27,13,1
48,71,49,12,26,16,1
61,26,49,13,31,22,1
67,27,49,16,40,19,1
68,118,40,16,26,27,2
65,115,39,12,26,25,2
62,111,42,10,34,23,2
57,93,42,9,31,19,1
69,120,43,12,27,26,2
62,109,42,9,29,16,2
56,86,42,8,21,21,1
63,106,40,15,29,25,2
52,82,41,12,27,24,1
45,80,42,8,26,19,1
59,109,43,10,33,30,2
63,111,41,10,24,19,2
54,88,42,7,18,16,1
36,61,41,6,19,15,1
60,110,42,19,18,23,2
53,89,42,7,28,15,1
50,85,42,6,29,14,1
57,101,43,7,23,15,2
64,95,30,12,28,26,1
62,101,28,9,25,18,2
56,92,7,6,45,9,1
57,81,30,11,32,38,1
67,99,32,11,30,35,1
70,85,29,10,28,28,1
58,82,30,11,34,29,1
55,76,29,11,30,33,1
60,83,38,10,26,35,1
45,62,29,9,21,28,1
54,77,33,11,24,35,1
52,69,27,9,32,29,1
58,83,26,9,38,26,1
59,80,29,10,35,30,1
56,76,37,9,23,35,1
52,67,28,8,25,31,1
64,90,33,11,35,35,1
75,106,29,12,34,37,2
66,95,28,15,32,44,1
65,93,34,11,36,30,1
44,55,25,9,19,26,1
41,58,29,14,15,30,1
33,53,29,10,21,27,1
45,65,25,9,28,32,1
64,95,31,18,19,48,1
57,83,29,10,20,36,1
58,85,27,11,28,36,1
62,95,27,14,33,37,1
55,78,29,14,23,43,1
55,76,29,15,22,39,1
51,69,28,16,22,39,1
50,64,31,19,18,35,1
48,68,31,12,25,40,1
53,70,27,11,32,32,1
57,84,59,10,65,16,1
70,103,61,10,58,17,2
64,86,62,11,53,18,1
62,95,60,11,64,24,1
65,90,67,11,54,27,1
65,91,66,9,58,23,1
49,64,60,9,50,20,1
60,85,64,10,54,20,1
53,77,62,9,60,19,1
60,83,61,9,72,12,1
68,100,64,12,66,26,1
77,105,76,12,49,31,2
57,76,63,9,58,18,1
73,105,65,12,70,28,2
82,108,64,13,64,27,2
64,95,63,13,63,28,1
50,60,58,9,45,13,1
46,63,60,16,42,29,1
50,67,73,11,50,26,1
52,68,61,9,57,24,1
73,115,82,14,46,38,2
67,95,81,10,53,28,1
62,96,60,12,62,21,1
65,100,62,12,70,27,1
63,83,67,13,50,32,1
62,86,64,10,49,21,1
51,70,67,12,49,30,1
54,74,80,14,49,26,1
64,90,81,13,56,32,1
56,79,63,12,56,28,1
58,77,49,9,35,11,1
64,100,50,12,28,27,1
54,76,50,8,32,14,1
52,72,50,9,36,11,1
42,65,51,7,36,10,1
48,67,51,6,34,11,1
44,62,50,7,28,11,1
45,63,51,7,38,11,1
55,77,51,9,40,14,1
58,79,51,10,39,12,1
47,65,51,8,37,11,1
52,71,52,9,38,15,1
61,88,51,12,32,17,1
72,107,52,14,40,19,2
64,92,51,15,35,18,1
65,95,51,15,39,18,1
51,66,50,11,24,15,1
45,61,50,15,18,17,1
36,52,51,10,29,12,1
53,74,53,11,29,15,1
59,87,52,13,39,21,1
68,102,51,17,47,18,2
62,90,51,13,38,15,1
51,71,51,13,30,15,1
45,64,52,8,33,13,1
47,60,51,14,15,18,1
37,31,52,17,13,18,1
48,31,51,12,39,18,1
66,103,47,8,37,17,2
52,77,41,7,27,23,1
58,98,45,9,30,22,1
55,83,47,7,36,21,1
61,97,42,9,43,16,1
62,100,43,10,44,26,1
70,111,47,9,32,25,2
100,157,41,15,50,26,2
67,122,40,14,51,23,2
57,88,42,11,32,19,1
52,80,41,18,31,23,1
71,120,45,13,36,21,2
65,109,45,10,35,20,2
68,113,44,15,39,23,2
62,104,44,11,41,22,2
75,130,45,16,36,24,2
59,90,43,10,50,21,1
54,78,40,11,56,18,1
51,79,41,15,45,15,1
62,103,43,15,58,18,2
58,85,32,16,22,41,1
50,63,29,14,22,35,1
49,63,33,13,21,38,1
57,83,30,17,34,47,1
56,75,31,19,18,46,1
55,72,30,13,22,40,1
38,56,27,8,23,25,1
38,55,29,18,15,32,1
55,73,32,14,17,38,1
38,55,28,10,16,25,1
41,55,48,12,13,15,1
32,49,31,10,16,9,0
51,70,36,16,27,12,1
42,53,29,11,18,7,1
27,39,30,8,16,7,0
31,47,31,8,11,6,0
55,71,50,13,15,9,1
55,75,43,18,19,13,1
28,40,31,7,16,5,0
28,44,33,7,13,6,0
41,54,33,15,16,6,1
27,33,32,7,14,5,0
20,30,32,7,13,5,0
23,35,30,8,12,6,0
39,57,34,10,11,7,1
34,56,32,12,9,7,1
30,37,30,10,8,5,0
19,20,29,5,14,4,0
23,28,30,7,12,5,0
29,50,31,9,18,7,0
64,88,77,12,48,28,1
51,70,13,14,49,34,1
63,95,20,13,63,42,1
64,84,26,14,46,34,1
51,73,13,11,52,26,1
39,62,7,10,55,17,1
37,58,28,11,36,21,1
34,54,18,9,38,19,1
28,53,5,8,41,14,1
60,80,21,11,45,27,1
58,81,14,10,56,24,1
32,45,5,7,42,12,0
29,50,7,8,41,16,0
40,58,7,15,45,18,1
25,44,8,7,41,12,0
25,55,5,7,41,9,1
21,45,4,7,37,12,0
39,58,7,9,40,21,1
48,68,11,11,39,31,1
50,71,51,17,27,20,1
50,63,51,16,18,18,1
40,62,51,13,37,18,1
52,74,52,16,36,19,1
52,71,52,17,22,19,1
55,75,52,13,42,20,1
44,61,51,10,24,16,1
33,52,52,17,25,16,1
51,62,51,8,14,11,1
47,61,51,12,12,14,1
44,61,47,10,30,12,1
43,65,47,13,40,18,1
53,82,47,11,24,11,1
47,66,49,9,28,11,1
20,28,41,3,28,5,0
37,53,43,6,31,8,1
52,76,41,14,29,13,1
29,41,42,4,27,6,0
24,30,41,3,29,4,0
35,55,42,5,34,7,1
63,83,42,12,27,11,1
16,25,41,4,34,6,0
29,30,42,7,19,8,0
46,31,43,10,35,11,0
54,77,40,18,47,22,1
51,83,42,12,73,17,1
58,93,43,17,27,24,1
61,95,43,16,14,20,1
55,86,44,11,26,29,1
52,81,44,9,35,17,1
52,70,44,14,26,16,1
64,106,43,15,31,19,2
61,100,37,11,20,19,1
45,71,37,10,13,14,1
32,63,37,7,19,14,1
52,82,38,14,30,17,1
48,68,36,13,24,14,1
36,58,36,7,16,11,1
42,68,36,10,15,14,1
60,99,39,10,19,14,1
63,106,41,9,27,18,2
23,38,36,3,17,8,0
26,58,38,6,21,13,1
44,65,37,19,13,14,1
23,45,37,4,14,9,0
17,37,36,3,15,7,0
27,59,37,5,26,12,1
54,80,38,11,24,18,1
58,78,38,14,17,13,1
37,56,37,8,13,12,1
18,33,37,4,18,10,0
29,55,37,8,17,11,1
39,66,38,8,24,15,1
52,77,19,10,14,35,1
52,74,24,10,20,35,1
23,34,13,2,15,7,0
28,50,17,4,16,17,0
46,62,15,17,14,44,1
22,38,15,3,14,10,0
15,34,15,2,13,6,0
22,43,13,3,13,8,0
43,67,19,6,14,16,1
32,59,16,7,15,20,1
22,36,13,7,18,22,0
18,26,12,2,16,8,0
15,34,13,3,13,9,0
23,52,15,4,21,10,1
49,65,33,13,15,12,1
28,34,31,7,15,5,0
39,52,35,13,15,9,1
41,57,39,15,15,9,1
60,81,55,23,18,11,1
30,31,34,12,16,9,0
45,60,33,17,18,10,1
33,50,36,10,21,11,0
46,59,43,14,19,12,1
28,43,33,8,24,9,0
44,57,32,17,15,7,1
31,46,34,10,13,6,0
46,61,46,15,16,10,1
58,75,43,19,20,14,1
56,74,39,20,24,16,1
53,71,42,18,24,15,1
51,63,39,18,22,10,1
58,81,38,24,33,15,1
52,63,39,13,23,11,1
52,74,41,19,22,17,1
63,85,56,28,25,19,1
56,77,57,18,20,18,1
34,52,53,15,17,11,1
53,68,56,17,17,9,1
35,53,51,11,22,10,1
52,71,61,15,20,15,1
51,65,53,15,18,13,1
31,49,54,10,24,11,1
55,71,53,16,23,14,1
62,85,52,23,20,14,1
32,50,40,7,40,14,0
34,55,41,9,48,17,1
40,63,43,8,43,16,1
46,65,44,14,39,24,1
61,88,51,18,45,31,1
33,58,42,11,43,19,1
49,71,31,15,51,30,1
31,52,32,8,50,20,1
33,54,34,9,41,24,1
33,50,33,8,51,22,1
49,62,40,13,42,22,1
31,53,34,9,34,23,1
51,65,43,9,35,26,1
62,86,44,11,50,30,1
58,75,35,15,57,32,1
44,64,35,13,54,24,1
65,96,40,21,78,33,1
53,67,32,11,58,20,1
65,94,36,21,54,49,1
70,99,46,19,42,42,1
36,56,35,15,36,27,1
53,70,38,19,35,30,1
41,55,38,15,37,24,1
50,66,35,14,40,24,1
53,68,38,16,34,33,1
47,64,38,13,38,35,1
61,85,33,23,37,44,1
53,70,43,12,32,15,1
35,55,42,7,29,9,1
54,67,43,9,32,11,1
50,65,45,10,26,13,1
51,66,43,15,27,12,1
62,91,47,17,42,18,1
20,28,44,7,32,10,0
39,62,45,17,45,13,1
46,60,46,11,51,16,1
38,55,45,8,47,12,1
53,68,44,11,23,10,1
35,58,35,10,33,12,1
57,90,34,20,48,23,1
54,74,34,13,43,15,1
49,72,34,14,39,18,1
56,82,34,21,44,24,1
56,78,34,12,44,17,1
33,53,34,9,31,10,1
54,77,33,18,31,13,1
39,59,33,14,36,12,1
75,116,35,23,38,21,2
47,54,21,12,20,9,1
60,53,21,15,19,13,1
63,100,39,12,19,23,1
33,56,38,5,18,13,1
41,71,39,7,23,15,1
42,62,39,8,14,15,1
53,80,39,17,13,15,1
52,83,41,20,23,19,1
179,58,39,9,17,15,2
47,76,40,14,25,14,1
38,63,40,9,28,19,1
45,73,42,10,24,19,1
32,60,39,7,22,17,1
50,76,40,7,28,14,1
69,124,40,15,29,23,2
78,136,41,14,32,18,2
55,81,39,13,34,17,1
64,102,41,21,40,22,2
57,86,42,10,30,16,1
50,71,18,8,19,18,1
22,42,14,2,19,5,0
30,54,16,3,18,9,1
34,54,27,5,14,15,1
51,71,30,12,12,29,1
61,85,36,23,18,57,1
25,44,22,5,15,21,0
44,66,17,13,23,30,1
30,50,20,5,31,15,0
48,63,32,8,28,30,1
32,54,21,5,31,15,1
39,60,16,13,20,34,1
22,45,20,3,16,14,0
36,56,33,3,21,21,1
51,67,32,5,31,28,1
56,82,23,11,34,36,1
52,73,26,8,28,35,1
45,63,18,8,22,32,1
54,84,19,18,35,45,1
48,65,20,6,22,16,1
47,73,20,15,31,49,1
62,90,19,24,29,65,1
59,88,24,16,23,44,1
32,59,25,9,19,52,1
55,81,34,17,15,62,1
32,57,27,9,20,34,1
54,76,36,14,21,47,1
44,68,20,11,21,33,1
34,54,28,8,25,29,1
53,75,25,15,23,44,1
60,87,28,19,30,53,1
27,46,31,7,43,8,0
26,45,26,7,45,7,0
34,46,22,6,39,9,0
26,42,24,8,36,11,0
26,45,26,7,45,7,0
37,49,26,8,43,8,0
33,46,22,6,40,9,0
31,46,24,6,42,8,0
31,46,24,6,42,8,0
26,44,25,7,42,8,0
27,46,27,7,46,7,0
29,46,25,6,44,8,0
26,42,24,8,37,11,0
27,46,26,7,46,7,0
27,46,30,7,44,8,0
31,47,26,7,45,7,0
27,46,32,7,43,9,0
26,42,24,8,35,11,0
25,43,27,7,45,8,0
31,47,23,4,34,8,0
32,49,24,7,30,11,0
30,48,24,5,30,11,0
31,47,23,4,33,7,0
29,45,24,5,31,7,0
29,47,24,4,31,7,0
30,48,23,4,31,8,0
30,48,22,4,31,10,0
31,48,24,6,31,9,0
34,47,22,5,38,9,0
31,47,23,4,34,8,0
30,49,21,4,31,11,0
33,47,22,5,36,8,0
30,47,23,4,32,7,0
29,44,24,5,30,8,0
30,48,23,4,31,8,0
31,49,24,6,29,15,0
30,48,23,4,31,8,0
30,48,24,5,30,10,0
29,47,24,4,31,7,0
32,49,24,8,30,12,0
32,47,22,5,35,8,0
29,44,24,5,30,8,0
30,47,23,4,32,7,0
32,49,24,7,30,11,0
30,48,24,5,31,8,0
29,42,24,6,30,8,0
30,48,24,5,31,8,0
30,48,24,4,31,8,0
34,47,22,5,38,9,0
32,48,21,5,35,12,0
32,48,20,5,34,12,0
34,47,21,5,38,10,0
31,49,20,5,32,13,0
30,44,22,7,37,10,0
33,48,23,7,34,11,0
36,48,23,7,40,9,0
32,48,21,5,35,12,0
32,47,23,4,35,8,0
34,47,21,5,37,10,0
34,47,22,5,37,9,0
30,47,23,4,32,7,0
30,49,20,5,31,14,0
31,45,22,7,37,10,0
33,47,22,5,37,9,0
31,47,23,4,34,8,0
32,48,21,5,35,12,0
34,47,22,5,38,9,0
34,47,22,5,37,9,0
31,49,20,5,33,13,0
31,48,20,5,33,13,0
35,47,22,6,39,9,0
33,45,22,6,38,10,0
32,45,22,6,38,10,0
31,47,23,4,34,7,0
34,46,22,6,38,10,0
34,47,22,5,38,9,0
37,49,25,8,42,9,0
28,49,20,11,25,15,0
25,49,20,8,23,16,0
27,49,20,10,25,15,0
29,49,19,11,25,15,0
29,50,20,11,26,14,0
31,47,18,11,20,17,0
32,47,18,11,20,18,0
32,50,23,9,29,13,0
30,50,21,10,27,14,0
31,50,22,9,28,13,0
29,50,20,11,26,14,0
27,49,20,10,24,15,0
29,50,20,5,30,15,0
29,50,20,11,26,15,0
29,50,20,11,26,14,0
29,50,20,10,27,15,0
29,50,20,11,26,15,0
29,50,20,11,26,14,0
29,50,20,7,28,15,0
30,48,19,11,23,16,0
31,50,24,7,28,15,0
31,50,24,7,28,15,0
30,50,21,10,27,14,0
27,49,20,10,24,15,0
30,50,21,10,27,14,0
26,49,20,9,23,16,0
29,50,21,10,26,15,0
31,50,22,10,28,13,0
30,48,19,11,23,16,0
29,50,20,8,28,15,0
26,49,20,9,24,16,0
29,50,20,9,27,15,0
29,50,20,5,30,15,0
32,50,23,9,29,13,0
29,50,20,11,26,15,0
32,47,18,11,19,18,0
29,50,20,8,28,15,0
32,50,23,9,29,13,0
32,47,18,11,20,18,0
32,42,15,12,22,10,0
33,44,17,12,19,9,0
33,45,15,13,20,9,0
32,42,14,12,22,10,0
32,42,14,12,23,10,0
32,43,16,14,19,9,0
33,44,17,12,19,10,0
31,44,17,10,16,15,0
33,47,12,13,22,9,0
30,42,15,15,18,10,0
31,46,12,14,21,10,0
31,48,13,12,23,8,0
32,47,12,14,22,10,0
27,41,13,17,17,10,0
32,48,12,13,23,10,0
29,43,13,16,19,10,0
31,48,13,12,23,8,0
29,44,13,16,19,10,0
30,49,17,12,24,13,0
29,49,18,12,25,14,0
31,48,12,12,23,8,0
32,47,12,13,23,10,0
32,47,12,13,23,10,0
27,41,13,17,17,10,0
33,44,16,13,20,9,0
29,43,13,16,19,10,0
28,48,14,10,24,6,0
28,48,14,10,24,6,0
31,48,12,13,23,9,0
26,48,15,9,25,5,0
30,48,13,11,24,7,0
31,48,15,13,24,11,0
31,44,12,12,24,11,0
32,48,12,13,23,9,0
33,47,12,13,22,9,0
33,45,15,13,20,9,0
33,47,12,13,22,9,0
33,45,15,13,21,9,0
32,48,13,13,23,11,0
27,47,19,5,36,4,0
26,47,16,6,35,3,0
26,45,18,7,37,6,0
28,47,21,4,33,5,0
28,47,17,6,39,5,0
31,47,19,6,39,6,0
27,47,19,5,35,4,0
26,43,21,7,36,8,0
29,47,23,4,32,6,0
32,47,20,6,39,8,0
25,46,14,6,39,4,0
26,47,16,6,38,3,0
28,47,17,6,39,4,0
28,47,20,4,34,5,0
26,47,16,6,38,3,0
27,47,19,5,35,4,0
28,47,20,4,34,5,0
25,45,13,6,39,6,0
26,48,16,8,28,4,0
26,48,16,8,26,5,0
26,48,15,9,25,5,0
28,49,18,11,26,12,0
23,48,17,7,24,8,0
29,43,13,11,25,9,0
23,48,17,7,24,8,0
24,48,16,8,25,6,0
28,49,19,11,26,13,0
22,47,19,6,22,10,0
30,48,13,12,23,8,0
27,48,14,10,25,6,0
28,48,20,6,29,6,0
27,46,14,10,25,7,0
25,48,16,8,25,5,0
21,47,19,6,22,11,0
26,49,16,9,26,6,0
32,48,12,13,23,9,0
28,45,14,10,25,8,0
26,48,17,8,27,5,0
29,48,13,11,24,7,0
29,48,22,4,31,6,0
28,49,18,11,26,12,0
28,49,19,11,26,13,0
22,47,18,7,23,9,0
29,43,13,11,25,9,0
29,48,22,4,31,6,0
27,48,15,10,25,6,0
27,49,17,10,26,9,0
24,48,16,8,25,6,0
21,47,19,6,22,11,0
29,48,23,4,31,6,0
26,49,16,9,26,5,0
29,43,13,11,25,9,0
28,49,19,11,26,14,0
26,48,17,8,27,5,0
28,48,20,6,29,6,0
28,49,19,11,26,14,0
26,48,16,8,26,5,0
28,49,18,11,26,11,0
33,15,16,9,45,4,0
22,36,27,9,43,9,0
22,37,27,9,43,9,0
32,35,17,5,31,4,0
30,25,17,7,39,4,0
23,23,16,10,35,7,0
23,23,16,10,35,7,0
33,15,16,9,45,4,0
23,23,16,10,35,7,0
27,16,17,9,47,4,0
30,28,17,6,37,4,0
26,18,16,9,44,4,0
27,17,16,9,46,4,0
29,15,16,9,47,4,0
40,13,16,9,43,4,0
25,23,20,9,46,6,0
31,31,17,6,34,4,0
29,15,16,9,47,4,0
26,18,16,9,43,5,0
38,25,16,7,35,4,0
35,31,16,6,32,4,0
40,13,16,9,43,4,0
41,19,12,11,31,12,0
30,15,16,9,47,4,0
37,27,16,6,34,4,0
43,17,15,10,36,6,0
45,13,15,10,40,4,0
25,23,16,10,34,7,0
45,13,16,9,41,4,0
30,15,16,9,47,4,0
33,19,16,10,36,6,0
24,24,16,10,33,7,0
27,22,16,10,34,7,0
33,36,16,5,30,4,0
39,14,16,9,43,4,0
36,31,16,6,32,4,0
36,17,16,10,37,5,0
37,14,16,9,44,4,0
31,43,21,9,19,19,0
31,42,23,8,19,19,0
30,46,20,13,16,23,0
31,45,18,10,16,17,0
31,46,19,12,17,21,0
32,46,18,10,17,18,0
30,40,18,11,18,19,0
33,47,18,11,18,20,0
33,47,18,11,18,19,0
33,47,18,11,18,21,0
33,44,20,12,16,24,0
33,46,19,12,16,22,0
33,46,20,13,16,24,0
34,47,20,13,16,24,0
33,46,20,13,16,24,0
35,49,22,14,10,22,0
32,46,20,13,16,24,0
32,46,19,11,16,21,0
35,49,22,14,12,22,0
33,45,20,12,16,24,0
30,47,25,11,13,18,0
30,47,25,11,13,18,0
30,47,25,11,13,16,0
31,46,22,11,14,17,0
31,45,18,10,15,17,0
26,42,22,11,13,18,0
31,46,22,11,14,17,0
31,46,21,10,15,17,0
31,47,24,11,14,17,0
25,47,22,9,14,17,0
29,46,25,11,13,17,0
30,47,25,11,13,18,0
30,44,23,10,10,16,0
30,47,25,11,13,18,0
28,44,23,11,13,18,0
30,46,25,11,12,16,0
30,46,25,11,13,17,0
31,47,24,11,14,17,0
30,46,25,11,13,16,0
33,46,39,4,48,11,0
33,50,39,6,47,15,0
33,50,39,6,47,15,0
30,45,42,11,45,12,0
30,45,42,11,45,12,0
27,47,38,7,40,11,0
27,47,38,7,40,11,0
33,49,39,6,47,14,0
31,48,40,8,46,13,0
33,50,39,6,47,15,0
28,47,38,7,42,12,0
32,49,38,7,45,14,0
33,50,39,6,47,15,0
31,49,38,7,45,14,0
33,49,39,6,47,13,0
31,47,41,9,45,13,0
33,50,39,6,47,15,0
31,47,41,9,45,13,0
32,49,38,7,46,14,0
26,45,38,7,40,11,0
24,35,38,4,44,13,0
24,35,37,5,44,12,0
27,40,38,10,42,14,0
24,35,38,4,42,14,0
27,40,38,10,42,14,0
27,39,38,9,42,14,0
23,36,31,7,43,11,0
26,38,38,8,43,14,0
25,35,38,5,44,13,0
23,36,34,6,44,11,0
26,37,38,7,43,13,0
25,36,38,6,44,13,0
27,39,38,9,42,14,0
24,35,38,4,43,13,0
24,35,38,4,44,13,0
24,35,38,4,44,13,0
22,37,31,7,43,10,0
25,35,38,5,44,12,0
32,50,39,6,41,14,0
32,50,39,6,43,15,0
33,48,39,5,47,13,0
32,50,39,6,42,14,0
33,50,39,6,47,15,0
30,48,38,6,44,14,0
30,46,41,10,45,13,0
32,50,39,6,43,14,0
33,50,39,6,47,15,0
30,45,42,11,45,12,0
28,47,38,7,41,12,0
31,46,41,9,45,13,0
33,50,39,6,47,15,0
30,45,42,11,45,12,0
33,47,39,4,48,11,0
30,45,42,11,45,12,0
32,50,39,6,42,14,0
32,50,39,6,42,14,0
33,47,39,4,48,12,0
33,49,39,6,47,13,0
33,46,39,4,48,10,0
32,49,39,6,41,13,0
33,49,39,5,47,15,0
33,46,39,4,48,10,0
33,49,39,6,47,14,0
33,45,39,5,48,10,0
33,47,39,4,48,12,0
35,41,39,7,48,9,0
33,45,39,5,48,10,0
29,42,42,4,28,6,0
32,49,40,6,39,13,0
30,44,42,4,30,8,0
32,48,43,6,35,11,0
32,47,43,7,37,11,0
31,46,43,9,41,11,0
29,41,42,4,27,6,0
31,46,43,9,41,11,0
31,46,42,5,32,9,0
31,46,43,9,41,11,0
31,43,41,8,33,10,0
30,45,43,10,42,11,0
32,48,42,5,34,10,0
28,47,39,7,38,11,0
31,46,43,9,40,11,0
27,47,38,7,39,11,0
31,45,41,7,34,10,0
32,49,41,6,38,12,0
30,39,40,9,33,10,0
32,48,43,6,36,11,0
27,47,38,7,39,11,0
28,47,39,7,38,11,0
32,48,42,5,34,10,0
31,48,41,6,36,11,0
30,43,42,4,29,7,0
32,49,42,6,35,11,0
31,46,43,9,40,11,0
31,46,42,5,32,9,0
32,49,41,6,38,12,0
27,46,38,8,40,11,0
27,41,38,10,41,14,0
31,49,39,7,40,13,0
27,41,38,10,41,14,0
30,49,39,7,40,13,0
27,47,38,7,40,11,0
31,49,38,7,45,14,0
27,47,38,7,40,11,0
27,47,38,7,40,11,0
28,47,38,7,42,12,0
34,44,39,7,47,12,0
29,40,38,10,43,13,0
33,46,39,7,47,13,0
33,42,40,10,46,10,0
33,40,38,9,46,10,0
33,49,39,6,47,15,0
35,42,39,6,48,9,0
34,44,39,7,47,12,0
35,41,39,8,47,9,0
33,47,39,6,47,14,0
28,42,39,11,42,14,0
30,46,42,10,43,12,0
30,44,42,11,45,11,0
31,48,40,8,41,13,0
28,46,39,9,41,11,0
29,45,41,10,43,11,0
35,40,39,9,47,9,0
30,45,42,11,44,12,0
29,43,40,11,43,13,0
35,40,39,9,47,9,0
31,50,22,7,30,13,0
31,50,21,6,30,14,0
31,46,24,8,30,11,0
32,49,24,7,30,11,0
30,50,20,5,30,14,0
31,49,24,6,30,10,0
30,50,20,5,30,14,0
32,50,23,8,30,13,0
32,50,23,9,29,13,0
32,50,23,8,30,13,0
32,50,24,7,29,14,0
31,47,24,8,30,11,0
29,43,24,7,30,9,0
31,49,24,6,30,10,0
30,50,20,5,30,14,0
32,50,24,8,29,13,0
30,48,24,4,31,7,0
29,50,20,11,26,14,0
30,48,24,5,31,8,0
30,48,24,4,31,7,0
30,50,20,5,30,14,0
30,50,21,10,27,14,0
32,49,24,8,30,12,0
32,50,24,8,29,13,0
32,50,24,7,29,15,0
30,45,24,7,30,10,0
29,50,20,11,26,14,0
31,50,22,10,28,13,0
32,49,24,8,30,12,0
29,41,23,6,30,8,0
31,47,24,8,30,11,0
27,42,24,7,32,10,0
28,42,24,7,31,9,0
29,44,24,5,30,8,0
29,42,24,7,30,9,0
31,39,19,5,30,6,0
28,42,26,7,28,9,0
28,42,31,7,25,9,0
30,40,21,6,30,7,0
17,46,39,8,24,7,0
18,48,40,7,27,6,0
17,47,39,7,27,5,0
17,46,39,8,25,7,0
17,46,39,7,23,5,0
19,49,39,8,24,8,0
17,46,39,7,25,6,0
20,48,40,7,21,10,0
17,44,39,9,21,8,0
17,44,39,9,22,8,0
17,47,39,7,27,6,0
17,46,39,8,24,7,0
17,47,39,7,27,5,0
18,48,39,7,26,6,0
18,41,40,11,20,8,0
17,47,39,7,27,6,0
19,48,40,7,23,8,0
17,45,39,8,23,7,0
