NAMA DESA;IKS;IKE;IKL;IDM;Status
WAEMASING;0,7371;0,3167;0,6;0,5513;1
WAESILI;0,72;0,3833;0,4667;0,5233;1
WAETAWA;0,7314;0,2833;0,6667;0,5605;1
WAETEBA;0,6;0,2667;0,6667;0,5111;1
DOKA BARAT;0,6457;0,2167;0,6667;0,5097;1
DOKA TIMUR;0,6571;0,3;0,6667;0,5413;1
FATURAL;0,64;0,4;0,6667;0,5689;1
FERUNI;0,6286;0,25;0,8;0,5595;1
GAIMAR;0,6514;0,25;0,6667;0,5227;1
JELIA;0,6629;0,2167;0,6667;0,5154;1
JEROL;0,6971;0,3167;0,6667;0,5602;1
KABALUKIN;0,6229;0,2833;0,6667;0,5243;1
KALAR-KALAR;0,6629;0,35;0,6667;0,5598;1
LAININIR;0,6343;0,3;0,6667;0,5337;1
LOR-LOR;0,5486;0,3333;0,6667;0,5162;1
MARFENFEN;0,6057;0,2833;0,6667;0,5186;1
NGAIBOR;0,6114;0,3333;0,6667;0,5371;1
NGAIGULI;0,6971;0,3;0,6667;0,5546;1
POPJETUR;0,6857;0,3833;0,6;0,5563;1
BATUGOYANG;0,7029;0,2833;0,6667;0,551;1
BELTUBUR;0,68;0,3167;0,6667;0,5544;1
DOSIMAR;0,6114;0,2833;0,6667;0,5205;1
GOMAR METI;0,7086;0,4;0,6667;0,5917;1
GOMAR SUNGAI;0,6457;0,2667;0,8667;0,593;1
JORANG;0,6;0,2667;0,6667;0,5111;1
KAREY;0,6514;0,3167;0,6667;0,5449;1
MEROR;0,6914;0,2667;0,6667;0,5416;1
SALAREM;0,64;0,2833;0,7333;0,5522;1
SIYA;0,56;0,2667;0,6667;0,4978;1
ERERSIN;0,7429;0,3;0,6667;0,5698;1
HOKMAR;0,7314;0,2667;0,6667;0,5549;1
JURING;0,6571;0,2667;0,6667;0,5302;1
MAEKOR;0,6686;0,2667;0,6667;0,534;1
ALGADANG;0,6514;0,3667;0,6;0,5394;1
FATLABATA;0,64;0,3667;0,6;0,5356;1
GARDAKAU;0,64;0,2833;0,6667;0,53;1
GULILI;0,6914;0,3667;0,6667;0,5749;1
IRLOY;0,6571;0,3;0,6667;0,5413;1
JIRLAY;0,6286;0,2667;0,6667;0,5206;1
KOBASEL FARA;0,52;0,35;0,6667;0,5122;1
KOBASEL TIMUR;0,6914;0,2833;0,6667;0,5471;1
KWARBOLA;0,6057;0,2833;0,6667;0,5186;1
LORANG;0,76;0,3667;0,6667;0,5978;1
MANJAU;0,6343;0,3333;0,6667;0,5448;1
MARIRIMAR;0,6571;0,3;0,6667;0,5413;1
MURAI;0,5829;0,35;0,6667;0,5332;1
NAMARA;0,6914;0,3667;0,6667;0,5749;1
PAPAKULA;0,6629;0,3667;0,6667;0,5654;1
SELIBATA-BATA;0,6971;0,3667;0,6667;0,5768;1
SELILAU;0,68;0,3667;0,6667;0,5711;1
TANAH MIRING;0,5657;0,3667;0,6667;0,533;1
WAKUA;0,7771;0,3333;0,6667;0,5924;1
APARA;0,5257;0,2;0,6667;0,4641;0
BEMUN;0,5657;0,2667;0,4667;0,433;0
GOMO-GOMO;0,56;0,2;0,6667;0,4756;0
JAMBU AIR;0,5829;0,2;0,6;0,461;0
LONGGAR;0,6457;0,2;0,6667;0,5041;1
MESIANG;0,5886;0,2;0,6667;0,4851;0
WARABAL;0,6286;0,2;0,6667;0,4984;1
BALATAN;0,5486;0,3;0,7333;0,5273;1
BASADA;0,5886;0,3333;0,6;0,5073;1
DOSINAMALAU;0,6514;0,4167;0,6;0,556;1
KAIWABAR;0,6571;0,3167;0,6;0,5246;1
KARAWAI;0,5829;0,2667;0,6667;0,5054;1
KOBROR;0,6286;0,3167;0,6;0,5151;1
KOIJABI;0,68;0,4;0,6;0,56;1
LOLA;0,4743;0,2667;0,6;0,447;0
MARIRI;0,6114;0,3333;0,6;0,5149;1
PONOM;0,6229;0,3;0,6;0,5076;1
WAILAY;0,5829;0,3;0,6;0,4943;1
WARJUKUR;0,6743;0,3;0,6;0,5248;1
WARLOY;0,5943;0,2667;0,6667;0,5092;1
FOKET;0,5429;0,25;0,8667;0,5532;1
JERWATU;0,7714;0,2833;0,6667;0,5738;1
