NAMA DESA;IKS;IKE;IKL;IDM;Status
EGEBUTU;0,497142857;0,183333333;0,6;0,426825397;0
IDADAGI;0,514285714;0,183333333;0,6;0,432539683;0
KIGAMANI;0,491428571;0,183333333;0,6;0,424920635;0
MAKIDIMI;0,462857143;0,183333333;0,6;0,415396825;0
MOTITO;0,462857143;0,183333333;0,6;0,415396825;0
PONA;0,462857143;0,183333333;0,6;0,415396825;0
BUKAPA;0,645714286;0,416666667;0,133333333;0,398571429;0
DIKIYOUWO;0,594285714;0,416666667;0,4;0,47031746;0
EKEMANIDA;0,662857143;0,45;0;0,370952381;0
IDAKOTU;0,577142857;0,416666667;0,133333333;0,375714286;0
IKEBO;0,605714286;0,483333333;0,133333333;0,407460317;0
KIMUPUGI;0,72;0,416666667;0,533333333;0,556666667;1
MAUWA;0,708571429;0,45;0,333333333;0,497301587;1
PUTAPA;0,582857143;0,3;0,333333333;0,405396825;0
BOGIYATEUGI;0,411428571;0,183333333;0,6;0,398253968;0
BOTUMOMA;0,468571429;0,183333333;0,6;0,417301587;0
DIGIKEBO;0,571428571;0,25;0,6;0,473809524;0
MATADI;0,537142857;0,183333333;0,6;0,44015873;0
OBAIBEGA;0,485714286;0,183333333;0,6;0,423015873;0
POUWOUDA;0,52;0,183333333;0,6;0,434444444;0
PUWETA I;0,6;0,183333333;0,6;0,461111111;0
PUWETA II;0,571428571;0,233333333;0,533333333;0,446031746;0
TUWAIDA;0,531428571;0,183333333;0,6;0,438253968;0
UGIKAGOUDA;0,417142857;0,183333333;0,533333333;0,377936508;0
UGIKEBO;0,428571429;0,183333333;0,666666667;0,426190476;0
YEPO;0,548571429;0,183333333;0,6;0,443968254;0
BODUDA;0,554285714;0,233333333;0,666666667;0,484761905;0
BOKAIBUTU;0,508571429;0,233333333;0,666666667;0,46952381;0
BUNAUWO;0,531428571;0,233333333;0,666666667;0,477142857;0
DEIYAPA;0,554285714;0,233333333;0,666666667;0,484761905;0
NUWA;0,542857143;0,233333333;0,666666667;0,480952381;0
UGAPUGA;0,657142857;0,266666667;0,666666667;0,53015873;1
YOTAPUGA;0,525714286;0,233333333;0,666666667;0,475238095;0
DUNTEK;0,6;0,183333333;0,666666667;0,483333333;0
EKIMANI;0,571428571;0,183333333;0,533333333;0,429365079;0
IDAKEBO;0,645714286;0,283333333;0,6;0,50968254;1
IKRAR;0,48;0,266666667;0,466666667;0,404444444;0
KUYAKAGO;0,485714286;0,266666667;0,533333333;0,428571429;0
MOGOU;0,48;0,25;0,533333333;0,421111111;0
OBAYO;0,491428571;0,283333333;0,533333333;0,436031746;0
PUGATADI I;0,485714286;0,283333333;0,533333333;0,434126984;0
PUGATADI II;0,485714286;0,283333333;0,533333333;0,434126984;0
YAMETADI;0,485714286;0,283333333;0,533333333;0,434126984;0
ABAIMAIDA;0,634285714;0,466666667;0,333333333;0,478095238;0
BOBOMANI;0,742857143;0,466666667;0,333333333;0,514285714;1
BONAKUNU;0,714285714;0,466666667;0,333333333;0,504761905;1
DAWAIKUNU;0,628571429;0,466666667;0,333333333;0,476190476;0
DIYOUDIMI;0,531428571;0,466666667;0,333333333;0,443809524;0
MAGONE;0,531428571;0,466666667;0,333333333;0,443809524;0
OBAIKAGOPA;0,531428571;0,466666667;0,333333333;0,443809524;0
ABOUYAGA;0,565714286;0,35;0,666666667;0,527460317;1
MAIKOTU;0,537142857;0,25;0,666666667;0,484603175;0
TAUBAIKEBO;0,542857143;0,35;0,666666667;0,51984127;1
YEGOUKOTU;0,531428571;0,25;0,666666667;0,482698413;0
ADAUWO;0,588571429;0,183333333;0,6;0,457301587;0
ATOU;0,634285714;0,183333333;0,6;0,472539683;0
DIYEUGI;0,617142857;0,183333333;0,6;0,466825397;0
GABAIKUNU;0,634285714;0,183333333;0,6;0,472539683;0
MEGAIKEBO;0,611428571;0,183333333;0,6;0,464920635;0
MODIO;0,651428571;0,183333333;0,6;0,478253968;0
PIYAKUNU;0,617142857;0,183333333;0,6;0,466825397;0
PUTAAPA;0,634285714;0,183333333;0,6;0,472539683;0
TIMEPA;0,634285714;0,183333333;0,6;0,472539683;0
UPIBEGA;0,662857143;0,183333333;0,6;0,482063492;0
APOGOMAKIDA;0,697142857;0,25;0,666666667;0,537936508;1
DENEIODE;0,697142857;0,266666667;0,666666667;0,543492063;1
EGIPA;0,668571429;0,25;0,666666667;0,528412698;1
IDEDUWA;0,668571429;0,25;0,666666667;0,528412698;1
KEGATA;0,668571429;0,25;0,666666667;0,528412698;1
TIBAUGI;0,662857143;0,25;0,666666667;0,526507937;1
UKAGU;0,657142857;0,25;0,666666667;0,524603175;1
YEGIYEPA;0,662857143;0,25;0,666666667;0,526507937;1
IYARO;0,594285714;0,266666667;0,666666667;0,509206349;1
SUKIKAI;0,52;0,216666667;0,666666667;0,467777778;0
UNITO;0,588571429;0,266666667;0,533333333;0,462857143;0
WIGOUMAKIDA;0,617142857;0,266666667;0,666666667;0,516825397;1
AGISIGA;0,44;0,1833;0,6;0,4078;0
DANGGOA;0,4343;0,2;0,6;0,4114;0
JENETAPA NAJASIGA;0,4286;0,1833;0,6;0,404;0
KOMBOGOSIGA;0,4229;0,1833;0,6;0,4021;0
MBAMOGO;0,4171;0,1833;0,6;0,4002;0
NABIA;0,4914;0,1833;0,6;0,4249;0
SOALI;0,4457;0,1833;0,6;0,4097;0
TAMBAGE;0,4;0,1833;0,6;0,3944;0
TOUSIGA;0,5314;0,2333;0,6;0,4549;0
UNABUNDOGA;0,4229;0,1833;0,6;0,4021;0
ANEYA;0,537142857;0,333333333;0,533333333;0,467936508;0
BIANDOGA;0,52;0,333333333;0,533333333;0,462222222;0
BUGALAGA;0,52;0,333333333;0,533333333;0,462222222;0
DANGGATADI;0,588571429;0,333333333;0,533333333;0,485079365;0
KALAWA;0,52;0,333333333;0,533333333;0,462222222;0
KIGITADI;0,537142857;0,333333333;0,533333333;0,467936508;0
MANIUWO;0,537142857;0,333333333;0,533333333;0,467936508;0
MAOLAGI;0,537142857;0,333333333;0,533333333;0,467936508;0
MOYOMATAGA;0,52;0,333333333;0,533333333;0,462222222;0
NDABATADI;0,52;0,333333333;0,533333333;0,462222222;0
PAGAMBA;0,537142857;0,333333333;0,533333333;0,467936508;0
PITADI;0,52;0,333333333;0,533333333;0,462222222;0
TUNGGAPO;0,537142857;0,333333333;0,533333333;0,467936508;0
ULAR MERAH;0,52;0,333333333;0,533333333;0,462222222;0
YAGAITO;0,537142857;0,333333333;0,533333333;0,467936508;0
YANEI;0,52;0,333333333;0,533333333;0,462222222;0
BALAMAI;0,508571429;0,25;0,466666667;0,408412698;0
DANGGOMBA;0,462857143;0,233333333;0,6;0,432063492;0
HITADIPA;0,571428571;0,383333333;0,333333333;0,429365079;0
JANAMBA;0,508571429;0,2;0,6;0,436190476;0
KULAPA;0,56;0,183333333;0,533333333;0,425555556;0
PUGISIGA;0,405714286;0,4;0,6;0,468571429;0
SAKUMBA;0,462857143;0,216666667;0,133333333;0,270952381;0
SOAGAMA;0,411428571;0,15;0,533333333;0,364920635;0
WABUI;0,405714286;0,233333333;0,466666667;0,368571429;0
AGAPA;0,4629;0,3;0,8667;0,5432;1
BAMBA;0,4514;0,2;0,6667;0,4394;0
BILAI DUA/ SANEPA;0,6286;0,2833;0,5333;0,4817;0
BONOGO;0,4286;0,3;0,6;0,4429;0
BUBISIGA;0,3771;0,2667;0,6667;0,4368;0
DEGESIGA;0,48;0,2833;0,5333;0,4322;0
ENGGANENGA;0,4514;0,3;0,6667;0,4727;0
HIYABU;0,4229;0,2333;0,6;0,4187;0
HUGITAPA;0,4343;0,3;0,8667;0,5337;1
KENDETAPA;0,4286;0,2333;0,6667;0,4429;0
KOBAE;0,4571;0,2333;0,6;0,4302;0
MAPA;0,6229;0,35;0,4667;0,4798;0
MAYA;0,5257;0,2333;0,6667;0,4752;0
MBOMOGO;0,4057;0,25;0,7333;0,463;0
NGGAGEMBA;0,3543;0,2667;0,6;0,407;0
OGEAPA;0,4857;0,3;0,9333;0,573;1
POGAPA;0,4514;0,2;0,4667;0,3727;0
SANEPA;0,4571;0,2333;0,7333;0,4746;0
SELEMAMA;0,4514;0,2;0,6667;0,4394;0
WAIAGEPA;0,4057;0,3;0,6667;0,4575;0
ZOMBANDOGA;0,4571;0,2167;0,6667;0,4468;0
BILOGAI;0,68;0,65;0,4;0,5767;1
BUWISIGA;0,4229;0,25;0,5333;0,4021;0
EKNEMBA;0,5429;0,3667;0,5333;0,481;0
EMONDI;0,5257;0,2333;0,3333;0,3641;0
KUMLAGUPA;0,5829;0,3333;0,5333;0,4832;0
MAMBA;0,6171;0,5;0,5333;0,5502;1
MBILUSIGA;0,44;0,1833;0,5333;0,3856;0
MINDAU;0,4229;0,2333;0,3333;0,3298;0
NDUGUSIGA;0,5371;0,2833;0,5333;0,4513;0
PESIGA;0,5486;0,25;0,5333;0,444;0
PUYAGIYA;0,5143;0,3;0,5333;0,4492;0
SAMBILI;0,5257;0,4167;0,5333;0,4919;1
TITIGI;0,5314;0,4;0,5333;0,4883;0
WANDOGA;0,6171;0,4667;0,5333;0,539;1
YALAI;0,56;0,3833;0,5333;0,4922;1
YOKATAPA;0,6743;0,55;0,4;0,5414;1
YOPARU;0,5314;0,45;0,5333;0,5049;1
BIGASIGA;0,3257;0,2;0,3333;0,2863;0
DAPIAGA;0,3143;0,1833;0,3333;0,277;0
DUGINGGOBO;0,28;0,25;0,2667;0,2656;0
GAIMIGI;0,2857;0,1833;0,5333;0,3341;0
HEGENAGAI;0,3086;0,1833;0,3333;0,2751;0
JAWASIGA;0,3314;0,1833;0,5333;0,3494;0
PEWESIGA;0,3486;0,1833;0,5333;0,3551;0
SUGULUBAGALA;0,3143;0,2333;0,3333;0,2937;0
TOMOSIGA;0,3543;0,1833;0,2;0,2459;0
BUNAOPA;0,4171;0,1833;0,4667;0,3557;0
DUKENDOPA;0,4;0,1833;0,4667;0,35;0
NGGAMAGAE;0,4;0,2333;0,4667;0,3667;0
PIGABU;0,3771;0,1833;0,4667;0,3424;0
TETEOPA;0,4;0,1833;0,4667;0,35;0
UGIMBA;0,5029;0,1833;0,4;0,3621;0
DEBASIGA;0,451428571;0,183333333;0,533333333;0,389365079;0
DEBASIGA DUA;0,451428571;0,183333333;0,533333333;0,389365079;0
DUBANDOGA;0,451428571;0,183333333;0,533333333;0,389365079;0
HULAPUGA;0,451428571;0,183333333;0,533333333;0,389365079;0
ISANDOGA;0,451428571;0,183333333;0,533333333;0,389365079;0
JAE;0,451428571;0,183333333;0,533333333;0,389365079;0
MBUGULO;0,451428571;0,183333333;0,533333333;0,389365079;0
MOGALO;0,451428571;0,183333333;0,533333333;0,389365079;0
SABISA;0,451428571;0,183333333;0,533333333;0,389365079;0
ARABODA;0,542857143;0,283333333;0,666666667;0,497619048;1
KIMBIN;0,542857143;0,283333333;0,666666667;0,497619048;1
KOMBAGWE;0,542857143;0,283333333;0,666666667;0,497619048;1
LOGOTPAGA;0,542857143;0,283333333;0,666666667;0,497619048;1
LOKI;0,542857143;0,283333333;0,666666667;0,497619048;1
MILIGATNEM;0,542857143;0,283333333;0,666666667;0,497619048;1
TIKAWO;0,542857143;0,283333333;0,666666667;0,497619048;1
WALAK;0,542857143;0,283333333;0,666666667;0,497619048;1
WANGGONOMA;0,542857143;0,283333333;0,666666667;0,497619048;1
WAWANCA;0,542857143;0,283333333;0,666666667;0,497619048;1
ASOLOKOBAL;0,542857143;0,283333333;0,666666667;0,497619048;1
ASOTAPO;0,542857143;0,283333333;0,666666667;0,497619048;1
HELALUWA;0,542857143;0,283333333;0,666666667;0,497619048;1
HESATOM;0,542857143;0,283333333;0,666666667;0,497619048;1
MULINEKAMA;0,542857143;0,283333333;0,666666667;0,497619048;1
NINABUA;0,542857143;0,283333333;0,666666667;0,497619048;1
SINATA;0,542857143;0,283333333;0,666666667;0,497619048;1
WIAIMA;0,542857143;0,283333333;0,666666667;0,497619048;1
YAPEMA;0,542857143;0,283333333;0,666666667;0,497619048;1
AIR GARAM;0,542857143;0,283333333;0,666666667;0,497619048;1
ASOTIPO;0,542857143;0,283333333;0,666666667;0,497619048;1
HEBERIMA;0,542857143;0,283333333;0,666666667;0,497619048;1
HITIGIMA;0,542857143;0,283333333;0,666666667;0,497619048;1
HUKULIMO;0,542857143;0,283333333;0,666666667;0,497619048;1
IWIGIMA;0,542857143;0,283333333;0,666666667;0,497619048;1
KUANTAPO;0,542857143;0,283333333;0,666666667;0,497619048;1
POBIATMA;0,542857143;0,283333333;0,666666667;0,497619048;1
PUTAGEIMA;0,542857143;0,283333333;0,666666667;0,497619048;1
SOGOKMO;0,542857143;0,283333333;0,666666667;0,497619048;1
AYOMA;0,3771;0,2167;0,6;0,397933333;0
DLINGGAMA;0,3714;0,2167;0,6;0,396033333;0
DLONGGOKI;0,3714;0,2167;0,6;0,396033333;0
IRILINGA;0,4;0,2167;0,6;0,405566667;0
ONGGOBAGA;0,3771;0,2167;0,6;0,397933333;0
TIRUNGGU;0,3714;0,2167;0,6;0,396033333;0
WALAKMA;0,3714;0,2167;0,6;0,396033333;0
AIR GARAM;0,542857143;0,283333333;0,666666667;0,497619048;1
BUGI;0,542857143;0,283333333;0,666666667;0,497619048;1
DEWENE;0,542857143;0,283333333;0,666666667;0,497619048;1
KODLANGGA;0,542857143;0,283333333;0,666666667;0,497619048;1
MANDA;0,542857143;0,283333333;0,666666667;0,497619048;1
TAGULIK;0,542857143;0,283333333;0,666666667;0,497619048;1
TOTNI;0,542857143;0,283333333;0,666666667;0,497619048;1
WALAK SELATAN;0,542857143;0,283333333;0,666666667;0,497619048;1
DOKOPKU;0,542857143;0,283333333;0,666666667;0,497619048;1
HETUMA;0,542857143;0,283333333;0,666666667;0,497619048;1
HOM-HOM;0,542857143;0,283333333;0,666666667;0,497619048;1
HUBUKIAK;0,542857143;0,283333333;0,666666667;0,497619048;1
HUSOAK;0,542857143;0,283333333;0,666666667;0,497619048;1
LIKINO;0,542857143;0,283333333;0,666666667;0,497619048;1
MUSIAMIA;0,542857143;0,283333333;0,666666667;0,497619048;1
MUSIAMIA DUA;0,4857;0,2167;0,6;0,434133333;0
HUBIKOSI;0,542857143;0,283333333;0,666666667;0,497619048;1
IKILUMO;0,542857143;0,283333333;0,666666667;0,497619048;1
ISAKUSA;0,542857143;0,283333333;0,666666667;0,497619048;1
JIBILABAGA;0,542857143;0,283333333;0,666666667;0,497619048;1
KIKHUMO;0,542857143;0,283333333;0,666666667;0,497619048;1
KOSIHILAPOK;0,542857143;0,283333333;0,666666667;0,497619048;1
KOSIMEAGE;0,542857143;0,283333333;0,666666667;0,497619048;1
MEAGAMA;0,542857143;0,283333333;0,666666667;0,497619048;1
PELIMA;0,542857143;0,283333333;0,666666667;0,497619048;1
PIPUKMO;0,542857143;0,283333333;0,666666667;0,497619048;1
SUNILI;0,542857143;0,283333333;0,666666667;0,497619048;1
AYOBAIBUR;0,542857143;0,283333333;0,666666667;0,497619048;1
HABEMA;0,542857143;0,283333333;0,666666667;0,497619048;1
HOLALIBA;0,542857143;0,283333333;0,666666667;0,497619048;1
IBELE;0,542857143;0,283333333;0,666666667;0,497619048;1
TIPALOK;0,542857143;0,283333333;0,666666667;0,497619048;1
YAGAROBAK;0,542857143;0,283333333;0,666666667;0,497619048;1
YELEBAREK;0,542857143;0,283333333;0,666666667;0,497619048;1
YOKALPALEK;0,542857143;0,283333333;0,666666667;0,497619048;1
ZAPMA;0,542857143;0,283333333;0,666666667;0,497619048;1
ZINAI;0,542857143;0,283333333;0,666666667;0,497619048;1
KORAGI;0,542857143;0,283333333;0,666666667;0,497619048;1
KUMUDILUK;0,542857143;0,283333333;0,666666667;0,497619048;1
TAGIBAGA;0,542857143;0,283333333;0,666666667;0,497619048;1
TELEGAI;0,542857143;0,283333333;0,666666667;0,497619048;1
TENONDEK;0,542857143;0,283333333;0,666666667;0,497619048;1
ABUSA;0,542857143;0,283333333;0,666666667;0,497619048;1
ERAGAMA;0,497142857;0,3166667;0,53333333;0,449047629;0
HOPAMA;0,542857143;0,283333333;0,666666667;0,497619048;1
IYANTIK;0,542857143;0,283333333;0,666666667;0,497619048;1
JIWIKA;0,542857143;0,283333333;0,666666667;0,497619048;1
KIMIMA;0,49142871;0,3166667;0,666666667;0,491587359;1
MEBAGAIMA;0,508571429;0,3166667;0,666666667;0,497301599;1
MULIMA;0,542857143;0,283333333;0,666666667;0,497619048;1
OBYA;0,542857143;0,283333333;0,666666667;0,497619048;1
UMPAGALO;0,542857143;0,283333333;0,666666667;0,497619048;1
UTKOLO SATU;0,542857143;0,283333333;0,666666667;0,497619048;1
WAGA-WAGA;0,542857143;0,283333333;0,666666667;0,497619048;1
KILUBAGA;0,542857143;0,283333333;0,666666667;0,497619048;1
MULIAMA;0,542857143;0,283333333;0,666666667;0,497619048;1
MUSALFAK;0,542857143;0,283333333;0,666666667;0,497619048;1
PUNAKUL;0,542857143;0,283333333;0,666666667;0,497619048;1
WENABUBAGA;0,542857143;0,283333333;0,666666667;0,497619048;1
ESIAK;0,542857143;0,283333333;0,666666667;0,497619048;1
HERAEWA;0,542857143;0,283333333;0,666666667;0,497619048;1
HUSEWA;0,542857143;0,283333333;0,666666667;0,497619048;1
KEPI;0,542857143;0,283333333;0,666666667;0,497619048;1
MAIMA;0,542857143;0,283333333;0,666666667;0,497619048;1
MENAGAIMA;0,542857143;0,283333333;0,666666667;0,497619048;1
MINIMO;0,542857143;0,283333333;0,666666667;0,497619048;1
KWIGILUK;0,542857143;0,283333333;0,666666667;0,497619048;1
MEBUNUKME;0,542857143;0,283333333;0,666666667;0,497619048;1
MOLAGALOME;0,542857143;0,283333333;0,666666667;0,497619048;1
OKWA;0,542857143;0,283333333;0,666666667;0,497619048;1
TANAHMERAH;0,542857143;0,283333333;0,666666667;0,497619048;1
TOWAGAME;0,542857143;0,283333333;0,666666667;0,497619048;1
ASOLOGAIMA;0,542857143;0,283333333;0,666666667;0,497619048;1
DELEKAMA;0,542857143;0,283333333;0,666666667;0,497619048;1
HELEFA;0,542857143;0,283333333;0,666666667;0,497619048;1
HOLKIMA;0,542857143;0,283333333;0,666666667;0,497619048;1
HUKURAGI;0,542857143;0,283333333;0,666666667;0,497619048;1
KEWIN;0,542857143;0,283333333;0,666666667;0,497619048;1
KONAN;0,542857143;0,283333333;0,666666667;0,497619048;1
MILIAMA;0,542857143;0,283333333;0,666666667;0,497619048;1
MOLEBAGA;0,542857143;0,283333333;0,666666667;0,497619048;1
PILIBAGA;0,542857143;0,283333333;0,666666667;0,497619048;1
SEKOM;0,542857143;0,283333333;0,666666667;0,497619048;1
SILAMIK;0,542857143;0,283333333;0,666666667;0,497619048;1
ABULUKMO;0,542857143;0,283333333;0,666666667;0,497619048;1
ANEGERA;0,542857143;0,283333333;0,666666667;0,497619048;1
ELABUKAMA;0,542857143;0,283333333;0,666666667;0,497619048;1
HAMUHI;0,542857143;0,283333333;0,666666667;0,497619048;1
KOSIHAVE;0,542857143;0,283333333;0,666666667;0,497619048;1
MULUPALEK;0,542857143;0,283333333;0,666666667;0,497619048;1
PUMASILI;0,542857143;0,283333333;0,666666667;0,497619048;1
SIAPMA;0,542857143;0,283333333;0,666666667;0,497619048;1
TEMIA;0,542857143;0,283333333;0,666666667;0,497619048;1
YUMUGIMA;0,542857143;0,283333333;0,666666667;0,497619048;1
HEALEKMA;0,5424;0,3333;0,6667;0,514133333;1
HOLIMA;0,48;0,25;0,6667;0,465566667;0
LANI MATUAN;0,5143;0,3;0,6667;0,493666667;1
NAPUA;0,5829;0,45;0,5333;0,522066667;1
OKILIK;0,5771;0,3333;0,6667;0,5257;1
SAPALEK;0,4919;0,3167;0,6667;0,491766667;1
WILEKAMA;0,44;0,2833;0,6667;0,463333333;0
YELEKAMA;0,52;0,3333;0,6667;0,506666667;1
YOMAIMA;0,4629;0,25;0,6667;0,459866667;0
ALEAK;0,542857143;0,283333333;0,666666667;0,497619048;1
DUABALEK;0,542857143;0,283333333;0,666666667;0,497619048;1
FILIA;0,542857143;0,283333333;0,666666667;0,497619048;1
HEATNEM;0,542857143;0,283333333;0,666666667;0,497619048;1
HITELOWA;0,542857143;0,283333333;0,666666667;0,497619048;1
INANEKELOK;0,542857143;0,283333333;0,666666667;0,497619048;1
ISUGUNIK;0,542857143;0,283333333;0,666666667;0,497619048;1
LANDIA;0,542857143;0,283333333;0,666666667;0,497619048;1
MULUKMO;0,542857143;0,283333333;0,666666667;0,497619048;1
WAUKAHILAPOK;0,542857143;0,283333333;0,666666667;0,497619048;1
WILILIMO;0,542857143;0,283333333;0,666666667;0,497619048;1
WITALAK;0,542857143;0,283333333;0,666666667;0,497619048;1
YABEM;0,542857143;0,283333333;0,666666667;0,497619048;1
ABONERI;0,542857143;0,283333333;0,666666667;0,497619048;1
ALGONIK;0,542857143;0,283333333;0,666666667;0,497619048;1
BALIMA;0,542857143;0,283333333;0,666666667;0,497619048;1
BEAM;0,542857143;0,283333333;0,666666667;0,497619048;1
GOBALIMO;0,542857143;0,283333333;0,666666667;0,497619048;1
PERABAGA;0,542857143;0,283333333;0,666666667;0,497619048;1
PIRAMID;0,542857143;0,283333333;0,666666667;0,497619048;1
YALINGGUME;0,542857143;0,283333333;0,666666667;0,497619048;1
YONGGIME;0,542857143;0,283333333;0,666666667;0,497619048;1
YUMBUN;0,542857143;0,283333333;0,666666667;0,497619048;1
AIKIMA;0,542857143;0,283333333;0,666666667;0,497619048;1
AKIAPUT;0,542857143;0,283333333;0,666666667;0,497619048;1
PABUMA;0,542857143;0,283333333;0,666666667;0,497619048;1
PIKHE;0,542857143;0,283333333;0,666666667;0,497619048;1
PISUGI;0,542857143;0,283333333;0,666666667;0,497619048;1
SUROBA;0,542857143;0,283333333;0,666666667;0,497619048;1
WARA;0,542857143;0,283333333;0,666666667;0,497619048;1
PUPUGOBA;0,446;0,233;0,667;0,448666667;0
WAIMA;0,542857143;0,283333333;0,666666667;0,497619048;1
YELELO;0,542857143;0,283333333;0,666666667;0,497619048;1
YOMOTE;0,4629;0,233;0,667;0,4543;0
ISAWA HIMAN;0,542857143;0,283333333;0,666666667;0,497619048;1
LUNAIMA;0,542857143;0,283333333;0,666666667;0,497619048;1
MANIKA;0,542857143;0,283333333;0,666666667;0,497619048;1
NOAGALO;0,542857143;0,283333333;0,666666667;0,497619048;1
SEKAN;0,542857143;0,283333333;0,666666667;0,497619048;1
SEKAN DALAM;0,542857143;0,283333333;0,666666667;0,497619048;1
SIEPKOSI;0,542857143;0,283333333;0,666666667;0,497619048;1
WEKIA;0,542857143;0,283333333;0,666666667;0,497619048;1
YUMOGIMA;0,542857143;0,283333333;0,666666667;0,497619048;1
APNAE;0,542857143;0,283333333;0,666666667;0,497619048;1
ELABOGE;0,52;0,2883;0,6;0,469433333;0
GIGILOBO;0,4743;0,2833;0,6;0,452533333;0
HOLASILI;0,534;0,3167;0,6;0,483566667;0
OLAGI;0,5414;0,2833;0,6;0,4749;0
WOGI;0,5029;0,2167;0,6;0,439866667;0
WONENGGULIK;0,542857143;0,283333333;0,666666667;0,497619048;1
YEREGA;0,4743;0,2167;0,6;0,430333333;0
BOKIEM;0,542857143;0,283333333;0,666666667;0,497619048;1
BUDLIEM;0,542857143;0,283333333;0,666666667;0,497619048;1
ENTAGEKOKMA;0,542857143;0,283333333;0,666666667;0,497619048;1
HULUAIMA;0,542857143;0,283333333;0,666666667;0,497619048;1
IYORA;0,542857143;0,283333333;0,666666667;0,497619048;1
SENOGOLIK;0,542857143;0,283333333;0,666666667;0,497619048;1
TAILAREK;0,542857143;0,283333333;0,666666667;0,497619048;1
YOMAN WEYA;0,542857143;0,283333333;0,666666667;0,497619048;1
GUME KUPARI;0,394286;0,14;0,667;0,400428667;0
LAKWAME;0,388571;0,4;0,667;0,485190333;0
LAPEYO;0,394286;0,3333;0,667;0,464862;0
MULUGAME;0,3943;0,3333;0,667;0,464866667;0
ONGGOBALO;0,4057;0,4;0,667;0,4909;1
POROME;0,4286;0,4;0,5333;0,453966667;0
TAGIME;0,4914;0,4;0,6667;0,519366667;1
WANDINGGUNIE;0,4057;0,4;0,667;0,4909;1
YANGGAPURA;0,3886;0,3333;0,6667;0,462866667;0
YOGOBUR;0,36;0,3333;0,6667;0,453333333;0
YORDANIA TULAK;0,3886;0,4;0,667;0,4852;0
BINIBAGA;0,542857143;0,283333333;0,666666667;0,497619048;1
GELELAME;0,542857143;0,283333333;0,666666667;0,497619048;1
INJUTA;0,542857143;0,283333333;0,666666667;0,497619048;1
MELEMEI;0,542857143;0,283333333;0,666666667;0,497619048;1
PAGALUK;0,542857143;0,283333333;0,666666667;0,497619048;1
TAGINERI;0,542857143;0,283333333;0,666666667;0,497619048;1
TAMOKILU;0,542857143;0,283333333;0,666666667;0,497619048;1
WILALOMA;0,542857143;0,283333333;0,666666667;0,497619048;1
WURAGUKME;0,542857143;0,283333333;0,666666667;0,497619048;1
ANGGULPA;0,542857143;0,283333333;0,666666667;0,497619048;1
DINGGILIMO;0,542857143;0,283333333;0,666666667;0,497619048;1
KORA JAYA;0,542857143;0,283333333;0,666666667;0,497619048;1
KORAMBIRIK;0,542857143;0,283333333;0,666666667;0,497619048;1
NANGGO;0,542857143;0,283333333;0,666666667;0,497619048;1
TRIKORA;0,542857143;0,283333333;0,666666667;0,497619048;1
ABUTPUK;0,542857143;0,283333333;0,666666667;0,497619048;1
ALONA;0,542857143;0,283333333;0,666666667;0,497619048;1
FIKHA;0,542857143;0,283333333;0,666666667;0,497619048;1
GUA WISATA;0,542857143;0,283333333;0,666666667;0,497619048;1
ISAIMAN;0,542857143;0,283333333;0,666666667;0,497619048;1
MEAGAMIA;0,542857143;0,283333333;0,666666667;0,497619048;1
SIBA;0,542857143;0,283333333;0,666666667;0,497619048;1
UNDULUMO;0,542857143;0,283333333;0,666666667;0,497619048;1
USILIMO;0,542857143;0,283333333;0,666666667;0,497619048;1
WOSIALA;0,542857143;0,283333333;0,666666667;0,497619048;1
AGULIMO;0,542857143;0,283333333;0,666666667;0,497619048;1
LUKU-LUKU;0,542857143;0,283333333;0,666666667;0,497619048;1
MUSIEM;0,542857143;0,283333333;0,666666667;0,497619048;1
WADANGKU;0,542857143;0,283333333;0,666666667;0,497619048;1
YOMOSIMO;0,542857143;0,283333333;0,666666667;0,497619048;1
ELAREK;0,537142857;0,4666667;0,666666667;0,556825408;1
HOLIMA;0,537142857;0,4666667;0,666666667;0,556825408;1
WALAIK;0,537142857;0,4666667;0,666666667;0,556825408;1
WELEKAMA;0,537142857;0,4666667;0,666666667;0,556825408;1
YELAI;0,537142857;0,4666667;0,666666667;0,556825408;1
ITLAY HALITOPO;0,542857143;0,283333333;0,666666667;0,497619048;1
KUBULAKMA;0,542857143;0,283333333;0,666666667;0,497619048;1
KULAKEN;0,542857143;0,283333333;0,666666667;0,497619048;1
PUGIMA;0,542857143;0,283333333;0,666666667;0,497619048;1
WALELAGAMA;0,542857143;0,283333333;0,666666667;0,497619048;1
WAMUSAGE;0,542857143;0,283333333;0,666666667;0,497619048;1
DOGONAME;0,542857143;0,283333333;0,666666667;0,497619048;1
DUMAPAGA;0,542857143;0,283333333;0,666666667;0,497619048;1
WAME;0,542857143;0,283333333;0,666666667;0,497619048;1
YANENGGAME;0,542857143;0,283333333;0,666666667;0,497619048;1
AUTAKMA;0,6914;0,3833;0,6667;0,580466667;1
BATU MERAH;0,5771;0,3833;0,6667;0,542366667;1
HONAIMA;0,6914;0,4333;0,6667;0,597133333;1
HONELAMA;0,6743;0,4833;0,6081;0,588566667;1
APENAS;0,534;0,286;0,522;0,447333333;0
ASOJELIPELE;0,521;0,224;0,61;0,451666667;0
LANTIPO;0,531;0,2611;0,592;0,461366667;0
PAWEKAMA;0,552;0,291;0,544;0,462333333;0
